ID,Frequency
F000372,2440
F000417,2330
F000497,2150
F000501,2146
F000563,2044
F000580,2020
F000594,2000
F000611,1983
F000617,1962
F000683,1908
F000677,1884
F000714,1848
F000728,1836
F000760,1804
F000781,1790
F000780,1790
F000799,1772
F000818,1756
F000845,1726
F000860,1714
F000925,1664
F000916,1663
F000990,1622
F000998,1620
F001033,1598
F001047,1584
F001093,1576
F001087,1564
F001089,1562
F001238,1508
F001191,1500
F001218,1490
F001224,1486
F001306,1454
F001373,1424
F001372,1424
F001476,1376
F001493,1366
F001497,1366
F001571,1338
F001626,1322
F001646,1316
F001627,1315
F001667,1314
F001612,1311
F001750,1284
F001765,1277
F001784,1270
F001778,1262
F001816,1260
F001890,1260
F001870,1248
F001899,1240
F001927,1235
F001912,1234
F001940,1228
F001963,1224
F001980,1219
F001999,1214
F002008,1212
F002006,1210
F002150,1180
F002133,1177
F002161,1176
F002207,1166
F002266,1165
F002234,1158
F002263,1154
F002325,1142
F002312,1142
F002341,1138
F002338,1138
F002354,1134
F002368,1132
F002439,1118
F002500,1113
F002498,1110
F002477,1110
F002499,1106
F002669,1102
F002514,1102
F002559,1096
F002615,1086
F002628,1084
F002809,1082
F002675,1076
F002700,1072
F002755,1064
F002813,1056
F002861,1050
F002896,1049
F002983,1049
F002958,1044
F002925,1040
F002922,1039
F002975,1039
F002941,1035
F002993,1028
F003037,1022
F003096,1022
F003082,1016
F003063,1015
F003152,1014
F003098,1014
F003128,1012
F003136,1010
F003115,1008
F003181,1004
F003205,1002
F003285,992
F003415,991
F003350,988
F003314,988
F003305,988
F003342,986
F003391,978
F003392,978
F003460,973
F003590,971
F003458,970
F003554,970
F003477,968
F003509,964
F003541,960
F003600,955
F003632,952
F003697,947
F003692,946
F004048,943
F003746,941
F003840,931
F003853,930
F003864,928
F003914,924
F003996,916
F003987,916
F003985,913
F004035,912
F004029,912
F004089,906
F004111,904
F004132,902
F004152,900
F004156,900
F004190,898
F004240,894
F004298,890
F004309,888
F004426,886
F004339,886
F004341,884
F004367,882
F004395,880
F004387,880
F004383,880
F004423,878
F004469,875
F004454,874
F004459,874
F004360,870
F004536,868
F004784,846
F004749,843
F004842,842
F004779,841
F004763,839
F004897,838
F004922,836
F004946,834
F005054,833
F005235,833
F004989,832
F004971,832
F005017,830
F005205,829
F005111,822
F005173,818
F005203,816
F005204,816
F005227,814
F005233,814
F005236,814
F005263,812
F005276,811
F005305,810
F005316,810
F005875,807
F005345,806
F005357,806
F005447,804
F005700,804
F005336,802
F005490,798
F005497,798
F005683,796
F005527,794
F005560,792
F005614,790
F005593,790
F005637,788
F005627,788
F005684,786
F005907,786
F005698,784
F005715,784
F005722,784
F005787,780
